node.owner.login,node.name,node.createdAt,node.updatedAt,node.primaryLanguage,node.releases.totalCount,node.totalIssues.totalCount,node.closedIssues.totalCount,node.pullRequests.totalCount,node.primaryLanguage.name
hoppscotch,hoppscotch,2019-08-21T13:15:24Z,2024-03-20T14:20:41Z,,37,1375,1081,1377,TypeScript
Anduin2017,HowToCook,2020-02-29T10:43:49Z,2024-03-20T14:02:52Z,,1,627,272,484,Shell
adam-p,markdown-here,2012-05-13T03:27:22Z,2024-03-20T10:38:28Z,,11,611,308,20,JavaScript
strapi,strapi,2015-09-30T15:34:48Z,2024-03-20T14:00:05Z,,334,8891,8379,7761,TypeScript
xingshaocheng,architect-awesome,2018-04-06T13:30:58Z,2024-03-20T14:20:13Z,,0,70,22,49,
lydiahallie,javascript-questions,2019-06-12T08:26:27Z,2024-03-20T13:53:14Z,,0,232,230,328,
kelseyhightower,nocode,2018-02-06T23:54:00Z,2024-03-20T14:14:56Z,,1,4597,652,1,Dockerfile
angular,angular.js,2010-01-06T00:34:37Z,2024-03-20T14:12:22Z,,0,9039,8648,789,JavaScript
python,cpython,2017-02-10T19:23:51Z,2024-03-20T08:53:14Z,,0,66868,59936,40919,Python
jquery,jquery,2009-04-03T15:20:14Z,2024-03-20T12:32:58Z,,9,2302,2232,708,JavaScript
syncthing,syncthing,2013-11-26T09:48:21Z,2024-03-20T13:50:23Z,,364,5364,5031,2488,Go
h5bp,Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,2024-03-20T14:25:05Z,,0,174,138,472,Nunjucks
junegunn,fzf,2013-10-23T16:04:23Z,2024-03-20T13:42:20Z,,39,2589,2293,448,Go
lodash,lodash,2012-04-07T04:11:46Z,2024-03-20T13:51:38Z,,2,4226,4181,577,JavaScript
apache,echarts,2013-04-03T03:18:59Z,2024-03-20T08:22:33Z,,114,17871,15656,1271,TypeScript
openai,whisper,2022-09-16T20:02:54Z,2024-03-20T14:03:35Z,,10,0,0,95,Python
shadowsocks,shadowsocks-windows,2013-01-14T07:54:16Z,2024-03-20T14:13:14Z,,55,2898,2734,278,C#
scikit-learn,scikit-learn,2010-08-17T09:43:38Z,2024-03-20T14:20:24Z,,39,10753,9121,11807,Python
apache,superset,2015-07-21T18:55:34Z,2024-03-20T14:24:24Z,,188,10060,9521,12092,TypeScript
awesomedata,awesome-public-datasets,2014-11-20T06:20:50Z,2024-03-20T12:07:19Z,,1,113,47,188,
tesseract-ocr,tesseract,2014-08-12T18:04:59Z,2024-03-20T13:22:48Z,,28,2588,2202,1342,C++
ventoy,Ventoy,2020-03-10T15:19:19Z,2024-03-20T14:09:28Z,,95,2096,1465,261,C
3b1b,manim,2015-03-22T18:50:58Z,2024-03-20T13:55:20Z,,10,1110,718,565,Python
chrislgarry,Apollo-11,2014-04-03T15:45:02Z,2024-03-20T13:51:47Z,,0,377,316,326,Assembly
TheAlgorithms,Java,2016-07-16T10:21:02Z,2024-03-20T11:22:04Z,,0,978,978,1188,Java
swisskyrepo,PayloadsAllTheThings,2016-10-18T07:29:07Z,2024-03-20T12:57:49Z,,2,0,0,508,Python
ByteByteGoHq,system-design-101,2023-09-18T20:52:03Z,2024-03-20T14:07:24Z,,0,41,11,21,
h5bp,html5-boilerplate,2010-01-24T18:03:24Z,2024-03-20T13:51:30Z,,33,1332,1325,744,JavaScript
sdmg15,Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,2024-03-20T14:17:50Z,,0,140,85,400,
bradtraversy,design-resources-for-developers,2020-05-06T14:40:35Z,2024-03-20T14:25:15Z,,0,91,91,886,
d2l-ai,d2l-zh,2017-08-23T04:40:24Z,2024-03-20T14:26:25Z,,16,0,0,1020,Python
sindresorhus,awesome-nodejs,2014-07-11T13:35:34Z,2024-03-20T14:09:23Z,,0,101,100,405,
gatsbyjs,gatsby,2015-05-21T22:43:05Z,2024-03-20T09:30:04Z,,134,14027,13863,18067,JavaScript
ocornut,imgui,2014-07-21T14:29:47Z,2024-03-20T14:22:42Z,,94,5511,4674,338,C++
openai,openai-cookbook,2022-03-11T02:08:53Z,2024-03-20T14:01:59Z,,0,327,304,468,MDX
obsproject,obs-studio,2013-10-01T02:40:31Z,2024-03-20T14:23:03Z,,197,3687,3229,4452,C
spring-projects,spring-framework,2010-12-08T04:04:45Z,2024-03-20T13:14:28Z,,285,24986,24715,826,Java
rails,rails,2008-04-11T02:19:47Z,2024-03-20T14:20:20Z,,114,17142,16647,22994,Ruby
xtekky,gpt4free,2023-03-29T17:00:43Z,2024-03-20T14:19:51Z,,98,1022,927,470,Python
fffaraz,awesome-cpp,2014-07-17T08:51:11Z,2024-03-20T14:20:16Z,,0,572,230,675,
Eugeny,tabby,2016-12-23T09:06:10Z,2024-03-20T13:52:46Z,,183,4791,3042,1444,TypeScript
FuelLabs,fuel-core,2020-08-27T21:12:14Z,2024-03-20T14:22:42Z,,79,673,521,880,Rust
ElemeFE,element,2016-09-03T06:19:26Z,2024-03-20T13:52:01Z,,145,17658,15224,3229,Vue
azl397985856,leetcode,2018-03-30T09:13:51Z,2024-03-20T13:52:11Z,,40,252,243,256,JavaScript
ggerganov,llama.cpp,2023-03-10T18:58:00Z,2024-03-20T14:24:38Z,,1000,2488,1390,2051,C++
prakhar1989,awesome-courses,2014-11-15T18:36:49Z,2024-03-20T14:09:31Z,,0,76,39,194,
binary-husky,gpt_academic,2023-03-20T09:05:13Z,2024-03-20T14:22:33Z,,27,1343,1139,145,Python
caddyserver,caddy,2015-01-13T19:45:03Z,2024-03-20T13:44:05Z,,112,3756,3649,1812,Go
danielmiessler,SecLists,2012-02-19T01:30:18Z,2024-03-20T14:06:37Z,,23,245,223,559,PHP
scutan90,DeepLearning-500-questions,2018-06-27T06:36:45Z,2024-03-20T13:26:54Z,,0,186,80,302,JavaScript
shadcn-ui,ui,2023-01-04T12:43:27Z,2024-03-20T14:26:14Z,,16,1622,1041,299,TypeScript
binhnguyennus,awesome-scalability,2017-12-27T03:46:40Z,2024-03-20T14:09:36Z,,0,0,0,32,
prometheus,prometheus,2012-11-24T11:14:12Z,2024-03-20T14:25:18Z,,292,5473,4721,5901,Go
facebook,docusaurus,2017-06-20T16:13:53Z,2024-03-20T11:19:23Z,,137,2932,2670,4973,TypeScript
alacritty,alacritty,2016-02-18T05:02:30Z,2024-03-20T14:26:45Z,,92,5521,5218,1749,Rust
